,model1,model2,sampleId,jacardDist
85,Coriobacteriaceae,Veillonellaceae,ERR260134,0.3971361776738749
86,Coriobacteriaceae,Actinomycetales,ERR260134,0.3473861720067454
87,Coriobacteriaceae,Bacteroidales,ERR260134,0.2570228406405881
88,Coriobacteriaceae,Clostridiales,ERR260134,0.2720118052139695
89,Coriobacteriaceae,Lactobacillales,ERR260134,0.2700052994170641
90,Desulfovibrionaceae,Eggerthellaceae,ERR260134,0.4883610451306414
91,Desulfovibrionaceae,Enterobacteriaceae,ERR260134,0.5252225519287834
92,Desulfovibrionaceae,Erysipelotrichaceae,ERR260134,0.5266131430270592
93,Desulfovibrionaceae,Pasteurellaceae,ERR260134,0.4179310344827586
94,Desulfovibrionaceae,Peptoniphilaceae,ERR260134,0.4358974358974359
95,Desulfovibrionaceae,Propionibacteriaceae,ERR260134,0.42844752818733733
96,Desulfovibrionaceae,Selenomonadaceae,ERR260134,0.4309737974188502
97,Desulfovibrionaceae,Staphylococcaceae,ERR260134,0.444534741974807
98,Desulfovibrionaceae,Veillonellaceae,ERR260134,0.41374214998152936
99,Desulfovibrionaceae,Actinomycetales,ERR260134,0.526861451460886
100,Desulfovibrionaceae,Bacteroidales,ERR260134,0.5472
101,Desulfovibrionaceae,Clostridiales,ERR260134,0.561035758323058
102,Desulfovibrionaceae,Lactobacillales,ERR260134,0.5245992260917633
103,Eggerthellaceae,Enterobacteriaceae,ERR260134,0.6656875834445928
104,Eggerthellaceae,Erysipelotrichaceae,ERR260134,0.6687444345503117
105,Eggerthellaceae,Pasteurellaceae,ERR260134,0.46776689014956163
106,Eggerthellaceae,Peptoniphilaceae,ERR260134,0.47199170124481327
107,Eggerthellaceae,Propionibacteriaceae,ERR260134,0.4493608652900688
108,Eggerthellaceae,Selenomonadaceae,ERR260134,0.6126126126126126
109,Eggerthellaceae,Staphylococcaceae,ERR260134,0.5068919519786572
110,Eggerthellaceae,Veillonellaceae,ERR260134,0.5821282906933629
111,Eggerthellaceae,Actinomycetales,ERR260134,0.6381536475145255
112,Eggerthellaceae,Bacteroidales,ERR260134,0.6858500527983105
113,Eggerthellaceae,Clostridiales,ERR260134,0.6762891685171477
114,Eggerthellaceae,Lactobacillales,ERR260134,0.6739308090438573
115,Enterobacteriaceae,Erysipelotrichaceae,ERR260134,0.31550136849962673
116,Enterobacteriaceae,Pasteurellaceae,ERR260134,0.5736770691994573
117,Enterobacteriaceae,Peptoniphilaceae,ERR260134,0.603949826527889
118,Enterobacteriaceae,Propionibacteriaceae,ERR260134,0.5480512546716498
119,Enterobacteriaceae,Selenomonadaceae,ERR260134,0.42938005390835576
120,Enterobacteriaceae,Staphylococcaceae,ERR260134,0.5161714435971602
121,Enterobacteriaceae,Veillonellaceae,ERR260134,0.3838624338624339
122,Enterobacteriaceae,Actinomycetales,ERR260134,0.3865045894319028
123,Enterobacteriaceae,Bacteroidales,ERR260134,0.27564102564102566
124,Enterobacteriaceae,Clostridiales,ERR260134,0.26017739367750736
125,Enterobacteriaceae,Lactobacillales,ERR260134,0.29365458015267176
126,Erysipelotrichaceae,Pasteurellaceae,ERR260134,0.5906120023767083
127,Erysipelotrichaceae,Peptoniphilaceae,ERR260134,0.5506756756756757
128,Erysipelotrichaceae,Propionibacteriaceae,ERR260134,0.5898683457355467
129,Erysipelotrichaceae,Selenomonadaceae,ERR260134,0.40486194477791115
130,Erysipelotrichaceae,Staphylococcaceae,ERR260134,0.5509743010449026
131,Erysipelotrichaceae,Veillonellaceae,ERR260134,0.3691724941724942
132,Erysipelotrichaceae,Actinomycetales,ERR260134,0.3299888517279822
133,Erysipelotrichaceae,Bacteroidales,ERR260134,0.21638044914134746
134,Erysipelotrichaceae,Clostridiales,ERR260134,0.23535228677379483
135,Erysipelotrichaceae,Lactobacillales,ERR260134,0.22243040685224835
136,Pasteurellaceae,Peptoniphilaceae,ERR260134,0.3538777606574217
137,Pasteurellaceae,Propionibacteriaceae,ERR260134,0.3318670576735093
138,Pasteurellaceae,Selenomonadaceae,ERR260134,0.5210116731517509
139,Pasteurellaceae,Staphylococcaceae,ERR260134,0.33548090197883107
140,Pasteurellaceae,Veillonellaceae,ERR260134,0.5027502750275028
141,Pasteurellaceae,Actinomycetales,ERR260134,0.5327653997378767
142,Pasteurellaceae,Bacteroidales,ERR260134,0.6012286324786325
143,Pasteurellaceae,Clostridiales,ERR260134,0.6272882597022211
144,Pasteurellaceae,Lactobacillales,ERR260134,0.5817427385892115
145,Peptoniphilaceae,Propionibacteriaceae,ERR260134,0.36407532592950265
146,Peptoniphilaceae,Selenomonadaceae,ERR260134,0.533022533022533
147,Peptoniphilaceae,Staphylococcaceae,ERR260134,0.3128229215594176
148,Peptoniphilaceae,Veillonellaceae,ERR260134,0.49201040505388327
149,Peptoniphilaceae,Actinomycetales,ERR260134,0.5347153668970056
150,Peptoniphilaceae,Bacteroidales,ERR260134,0.613092070250133
151,Peptoniphilaceae,Clostridiales,ERR260134,0.6137657836098044
