family,order,sampleId,jacardDist
Lactobacillaceae,Lactobacillales,ERR260173,0.050366032
Streptococcaceae,Lactobacillales,ERR260173,0.140890451
Actinomycetaceae,Actinomycetales,ERR260174,0.040630473
Brevibacteriaceae,Actinomycetales,ERR260174,0.448336252
Bacteroidaceae,Bacteroidales,ERR260174,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260174,0.135062129
Prevotellaceae,Bacteroidales,ERR260174,0.212317666
Rikenellaceae,Bacteroidales,ERR260174,0.284981091
Clostridiaceae,Clostridiales,ERR260174,0.116928447
Lachnospiraceae,Clostridiales,ERR260174,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260174,0.366127024
Ruminococcaceae,Clostridiales,ERR260174,0.164257228
Lactobacillaceae,Lactobacillales,ERR260174,0.050366032
Streptococcaceae,Lactobacillales,ERR260174,0.140890451
Bacteroidaceae,Bacteroidales,ERR260177,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260177,0.116689655
Rikenellaceae,Bacteroidales,ERR260177,0.269793103
Clostridiaceae,Clostridiales,ERR260177,0.116928447
Lachnospiraceae,Clostridiales,ERR260177,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260177,0.366127024
Ruminococcaceae,Clostridiales,ERR260177,0.164257228
Lactobacillaceae,Lactobacillales,ERR260177,0.050366032
Streptococcaceae,Lactobacillales,ERR260177,0.140890451
Actinomycetaceae,Actinomycetales,ERR260180,0.043979058
Micrococcaceae,Actinomycetales,ERR260180,0.418499127
Bacteroidaceae,Bacteroidales,ERR260180,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260180,0.135062129
Prevotellaceae,Bacteroidales,ERR260180,0.212317666
Rikenellaceae,Bacteroidales,ERR260180,0.284981091
Clostridiaceae,Clostridiales,ERR260180,0.116928447
Lachnospiraceae,Clostridiales,ERR260180,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260180,0.366127024
Ruminococcaceae,Clostridiales,ERR260180,0.164257228
Lactobacillaceae,Lactobacillales,ERR260180,0.050366032
Streptococcaceae,Lactobacillales,ERR260180,0.140890451
