sample_id,PhyloMICOM01,MICOM01,PhyloMICOM07,MICOM07,PhyloMICOM1.5,MICOM1.5,,
ERR414294,0.604465708,0.316373264,0.487619149,0.285150673,0.573649478,0.595244132,,
ERR414295,0.546864431,0.544001393,0.535673307,0.140466066,0.536397269,,,
ERR414297,0.58842791,0.066858259,0.606386116,0.135135203,0.57119765,0.014427432,,
ERR414301,0.852070934,0.789681285,0.600333399,0.542486151,0.773693887,0.61322056,,
ERR414302,0.996485139,0.912114568,0.925295297,0.925492917,0.566753617,0.765794766,,
ERR414305,1,0.984403032,1,0.991474393,1,,,
ERR414306,0.43965582,0.111241083,0.428387395,0.536735408,,0.678846704,,
ERR414308,1,0.980639506,0.6,0.693510132,0.6,0.775284082,,
ERR414311,0.897064043,0.774882564,0.925939214,0.385953742,0.564588638,0.751780058,,
ERR414312,0.981883629,0.594966856,0.785222501,0.447789832,0.955354879,0.692824784,,
ERR414313,0.019622757,-0.135476749,0.132658723,-0.283705368,-0.351104726,-0.09572932,,
ERR414315,0.541034665,-0.248703032,,-0.156581723,0.756106826,-0.140152969,,
ERR414316,0.495146972,0.444088681,0.555024104,0.506330623,0.374587053,0.272468812,,
ERR414318,1,0.915261049,0.2,0.948820013,,0.949241952,,
ERR414319,0.430056569,0.789620928,0.408061497,0.572587196,0.650833035,0.817255,,
ERR414320,0.665740838,0.676229864,0.649216402,0.686246178,0.816743585,0.454336426,,
ERR414321,-1,-0.09301953,-1,0.384225716,-1,0.272668188,,
ERR414322,1,0.932641343,0.6,0.889735262,0.2,,,
ERR414324,0.997801167,0.996020386,0.995688863,0.999286425,0.851916423,,,
ERR414325,0.662918761,0.034329553,0.493465831,-0.047957008,0.318613086,0.048926267,,
ERR414326,-1,-0.150481744,-1,0.016974497,-0.6,0.109719563,,
ERR414329,1,0.998897279,0.6,0.98950972,0.6,,,
ERR414330,0.828381191,0.100470597,0.731713772,0.23276468,0.778512467,-0.080970963,,
ERR414331,0.491873802,0.361962914,0.575110231,0.075342136,0.310056491,-0.075241326,,
ERR414332,1,0.921019772,0.6,0.979759939,0.2,0.576391456,,
ERR414333,0.123369731,-0.067341543,0.092663444,0.41491629,-0.398000171,,,
ERR414334,1,0.985917889,1,0.469682214,0.2,0.454174609,,
ERR414335,0.943923556,0.518478039,0.959504611,0.515338075,0.812380135,0.691105254,,
ERR414336,0.70776476,0.769975427,0.750815428,0.768499159,0.670048251,0.701729631,,
ERR414337,0.566409308,0.834901394,0.66444902,0.396159673,0.615057375,0.952965712,,
ERR414338,-0.023175869,0.231288343,-0.430411407,0.211151939,-0.403329589,,,
ERR414339,0.152329977,-0.147023728,-0.063716667,-0.077537964,-0.012700813,0.12890429,,
ERR414341,0.979357454,0.984026357,0.970978136,0.761099721,0.982973445,,,
ERR414343,-0.175448928,-0.175886817,0.168558685,-0.266200168,,-0.198225316,,
ERR414344,0.60094798,0.456817122,0.512640116,0.583288421,-0.267435261,,,
ERR414345,0.45400359,0.279722687,0.185018822,0.258934937,0.295061542,0.592268478,,
ERR414347,0.76880572,0.773422308,0.733205424,0.641719851,0.655855162,0.655704364,,
ERR414351,-0.448773028,-0.332420989,-0.652693807,-0.257113841,0.120832785,,,
